,LEAID,County,State,State/County,School District,ALL_MTH00pctprof_1112,ALL_RLA00pctprof_1112,Ages 5 to 17 in Families in Poverty Percent
1801,624690,Sutter County,CA,Sutter County CA,Meridian Elementary,34.5,34.5,22.45
1802,624720,Ventura County,CA,Ventura County CA,Mesa Union Elementary,63.0,71.0,15.45
1803,624750,Lake County,CA,Lake County CA,Middletown Unified,58.0,62.0,31.0
1804,624780,Kern County,CA,Kern County CA,Midway Elementary,74.5,54.5,32.95
1805,624870,Marin County,CA,Marin County CA,Mill Valley Elementary,88.0,90.0,9.8
1806,624900,San Mateo County,CA,San Mateo County CA,Millbrae Elementary,79.0,77.0,9.95
1807,624930,Shasta County,CA,Shasta County CA,Millville Elementary,77.0,77.0,24.0
1808,625020,Tehama County,CA,Tehama County CA,Mineral Elementary,22.0,44.5,27.9
1809,625110,Monterey County,CA,Monterey County CA,Mission Union Elementary,72.0,72.0,24.5
1812,625190,Modoc County,CA,Modoc County CA,Modoc Joint Unified,52.0,50.0,28.6
1813,625230,Kern County,CA,Kern County CA,Mojave Unified,32.0,34.0,32.95
1814,625290,Fresno County,CA,Fresno County CA,Monroe Elementary,47.0,52.0,35.25
1815,625320,Los Angeles County,CA,Los Angeles County CA,Monrovia Unified,63.0,61.0,25.75
1816,625350,Tulare County,CA,Tulare County CA,Monson-Sultana Joint Union Elementary,47.0,40.0,36.8
1817,625380,Siskiyou County,CA,Siskiyou County CA,Montague Elementary,47.0,57.0,28.45
1818,625410,Sonoma County,CA,Sonoma County CA,Monte Rio Union Elementary,84.5,74.5,13.8
1819,625470,Los Angeles County,CA,Los Angeles County CA,Montebello Unified,46.0,43.0,25.75
1820,625500,Santa Barbara County,CA,Santa Barbara County CA,Montecito Union Elementary,92.0,93.0,20.6
1821,625530,Monterey County,CA,Monterey County CA,Monterey Peninsula Unified,50.0,52.0,24.5
1822,625650,Sonoma County,CA,Sonoma County CA,Montgomery Elementary,80.0,69.5,13.8
1823,625690,Ventura County,CA,Ventura County CA,Moorpark Unified,67.0,71.0,15.45
1824,625740,Contra Costa County,CA,Contra Costa County CA,Moraga Elementary,90.0,93.0,13.7
1825,625770,Santa Clara County,CA,Santa Clara County CA,Moreland Elementary,76.0,73.0,12.3
