,LEAID,County,State,State/County,School District,ALL_MTH00pctprof_1112,ALL_RLA00pctprof_1112,Ages 5 to 17 in Families in Poverty Percent
9303,3412030,Ocean County,NJ,Ocean County NJ,OCEAN GATE,77.0,62.0,16.65
9304,3412060,Monmouth County,NJ,Monmouth County NJ,OCEAN TOWNSHIP,83.0,76.0,8.1
9305,3412090,Ocean County,NJ,Ocean County NJ,OCEAN TOWNSHIP,79.0,61.0,16.65
9306,3412120,Monmouth County,NJ,Monmouth County NJ,OCEANPORT BOROUGH,88.0,77.0,8.1
9307,3412150,Sussex County,NJ,Sussex County NJ,OGDENSBURG BOROUGH,80.0,64.0,5.95
9308,3412180,Bergen County,NJ,Bergen County NJ,OLD TAPPAN,93.0,88.0,8.3
9309,3412210,Salem County,NJ,Salem County NJ,OLDMANS TOWNSHIP,82.0,72.0,15.45
9310,3412240,Bergen County,NJ,Bergen County NJ,ORADELL,95.0,84.0,8.3
9311,3412260,Bergen County,NJ,Bergen County NJ,RIVER DELL REGIONAL HIGH,88.0,90.0,8.3
9312,3412270,Essex County,NJ,Essex County NJ,CITY OF ORANGE TOWNSHIP,51.0,46.0,21.8
9313,3412300,Warren County,NJ,Warren County NJ,OXFORD TOWNSHIP,77.0,67.0,8.65
9314,3412360,Bergen County,NJ,Bergen County NJ,PALISADES PARK,77.0,68.0,8.3
9315,3412390,Burlington County,NJ,Burlington County NJ,PALMYRA BOROUGH,69.0,64.0,7.2
9316,3412420,Bergen County,NJ,Bergen County NJ,PARAMUS,86.0,81.0,8.3
9317,3412450,Bergen County,NJ,Bergen County NJ,PARK RIDGE,89.0,83.0,8.3
9318,3412480,Morris County,NJ,Morris County NJ,PARSIPPANY-TROY HILLS TOW,86.0,80.0,4.95
9319,3412510,Bergen County,NJ,Bergen County NJ,PASCACK VALLEY REGIONAL H,93.0,97.0,8.3
9320,3412540,Passaic County,NJ,Passaic County NJ,PASSAIC CITY,52.0,38.0,21.85
9321,3412570,Passaic County,NJ,Passaic County NJ,PASSAIC VALLEY REGIONAL H,79.0,93.0,21.85
9322,3412600,Passaic County,NJ,Passaic County NJ,PASSAIC COUNTY MANCHESTER,72.0,87.0,21.85
9323,3412630,Passaic County,NJ,Passaic County NJ,PASSAIC COUNTY VOCATIONAL,84.0,94.0,21.85
9324,3412660,Morris County,NJ,Morris County NJ,LONG HILL TOWNSHIP,91.0,87.0,4.95
9325,3412690,Passaic County,NJ,Passaic County NJ,PATERSON,51.0,40.0,21.85
9326,3412720,Gloucester County,NJ,Gloucester County NJ,PAULSBORO,53.0,43.0,9.05
9327,3412810,Burlington County,NJ,Burlington County NJ,PEMBERTON TOWNSHIP,68.0,57.0,7.2
9328,3412840,Salem County,NJ,Salem County NJ,PENNS GROVE-CARNEYS POINT,58.0,44.0,15.45
9329,3412870,Camden County,NJ,Camden County NJ,PENNSAUKEN TOWNSHIP,69.0,55.0,18.0
9330,3412900,Morris County,NJ,Morris County NJ,PEQUANNOCK TOWNSHIP,90.0,86.0,4.95
9331,3412930,Middlesex County,NJ,Middlesex County NJ,PERTH AMBOY,55.0,45.0,11.3
9332,3412960,Warren County,NJ,Warren County NJ,PHILLIPSBURG,67.0,61.0,8.65
9333,3412990,Camden County,NJ,Camden County NJ,PINE HILL BOROUGH,75.0,65.0,18.0
9334,3413000,Ocean County,NJ,Ocean County NJ,PINELANDS REGIONAL,65.0,72.0,16.65
9335,3413050,Middlesex County,NJ,Middlesex County NJ,PISCATAWAY TOWNSHIP,81.0,73.0,11.3
9336,3413080,Gloucester County,NJ,Gloucester County NJ,PITMAN,81.0,70.0,9.05
9337,3413110,Salem County,NJ,Salem County NJ,PITTSGROVE TOWNSHIP,77.0,67.0,15.45
9338,3413140,Union County,NJ,Union County NJ,PLAINFIELD,47.0,40.0,13.65
9339,3413200,Atlantic County,NJ,Atlantic County NJ,PLEASANTVILLE,52.0,43.0,17.6
9340,3413230,Ocean County,NJ,Ocean County NJ,PLUMSTED TOWNSHIP,80.0,74.0,16.65
9341,3413260,Warren County,NJ,Warren County NJ,POHATCONG TOWNSHIP,71.0,68.0,8.65
9342,3413290,Ocean County,NJ,Ocean County NJ,POINT PLEASANT BOROUGH,87.0,77.0,16.65
9343,3413320,Ocean County,NJ,Ocean County NJ,POINT PLEASANT BEACH,85.0,82.0,16.65
9344,3413350,Passaic County,NJ,Passaic County NJ,POMPTON LAKES,78.0,78.0,21.85
9345,3413380,Atlantic County,NJ,Atlantic County NJ,PORT REPUBLIC,87.0,82.0,17.6
9346,3413410,Mercer County,NJ,Mercer County NJ,PRINCETON REGIONAL,92.0,88.0,13.7
9347,3413470,Passaic County,NJ,Passaic County NJ,PROSPECT PARK,62.0,50.0,21.85
9348,3413500,Salem County,NJ,Salem County NJ,QUINTON TOWNSHIP,80.0,57.0,15.45
9349,3413530,Union County,NJ,Union County NJ,RAHWAY,70.0,59.0,13.65
9350,3413560,Bergen County,NJ,Bergen County NJ,RAMAPO INDIAN HILLS REGIO,91.0,98.0,8.3
9351,3413590,Bergen County,NJ,Bergen County NJ,RAMSEY,91.0,89.0,8.3
9352,3413620,Burlington County,NJ,Burlington County NJ,RANCOCAS VALLEY REGIONAL,83.0,93.0,7.2
9353,3413650,Morris County,NJ,Morris County NJ,RANDOLPH TOWNSHIP,89.0,85.0,4.95
9354,3413680,Monmouth County,NJ,Monmouth County NJ,HAZLET TOWNSHIP,82.0,78.0,8.1
9355,3413710,Hunterdon County,NJ,Hunterdon County NJ,READINGTON TOWNSHIP,91.0,84.0,3.7
9356,3413740,Monmouth County,NJ,Monmouth County NJ,RED BANK,59.0,44.0,8.1
9357,3413750,Monmouth County,NJ,Monmouth County NJ,RED BANK REGIONAL H S  DI,87.0,95.0,8.1
9358,3413770,Bergen County,NJ,Bergen County NJ,RIDGEFIELD,78.0,75.0,8.3
9359,3413800,Bergen County,NJ,Bergen County NJ,RIDGEFIELD PARK,82.0,81.0,8.3
9360,3413830,Bergen County,NJ,Bergen County NJ,RIDGEWOOD VILLAGE,94.0,90.0,8.3
9361,3413860,Passaic County,NJ,Passaic County NJ,RINGWOOD,83.0,78.0,21.85
9362,3413890,Bergen County,NJ,Bergen County NJ,RIVER EDGE,93.0,85.0,8.3
9363,3413950,Bergen County,NJ,Bergen County NJ,RIVER VALE,90.0,86.0,8.3
9364,3413980,Morris County,NJ,Morris County NJ,RIVERDALE,79.0,74.0,4.95
9365,3414010,Burlington County,NJ,Burlington County NJ,RIVERSIDE TOWNSHIP,63.0,55.0,7.2
9366,3414040,Burlington County,NJ,Burlington County NJ,RIVERTON BOROUGH,82.0,77.0,7.2
9367,3414070,Bergen County,NJ,Bergen County NJ,ROCHELLE PARK,80.0,67.0,8.3
9368,3414100,Morris County,NJ,Morris County NJ,ROCKAWAY BOROUGH,73.0,66.0,4.95
9369,3414130,Morris County,NJ,Morris County NJ,ROCKAWAY TOWNSHIP,84.0,79.0,4.95
9370,3414220,Monmouth County,NJ,Monmouth County NJ,ROOSEVELT BOROUGH,90.0,74.5,8.1
9371,3414250,Essex County,NJ,Essex County NJ,ROSELAND,86.0,83.0,21.8
9372,3414280,Union County,NJ,Union County NJ,ROSELLE BOROUGH,60.0,53.0,13.65
9373,3414310,Union County,NJ,Union County NJ,ROSELLE PARK,82.0,74.0,13.65
9374,3414340,Morris County,NJ,Morris County NJ,ROXBURY TOWNSHIP,82.0,78.0,4.95
9375,3414370,Monmouth County,NJ,Monmouth County NJ,RUMSON BOROUGH,92.0,88.0,8.1
9376,3414400,Monmouth County,NJ,Monmouth County NJ,RUMSON-FAIR HAVEN REGIONA,96.0,99.0,8.1
9377,3414430,Camden County,NJ,Camden County NJ,RUNNEMEDE BOROUGH,74.0,58.0,18.0
9378,3414460,Bergen County,NJ,Bergen County NJ,RUTHERFORD,85.0,80.0,8.3
9379,3414490,Bergen County,NJ,Bergen County NJ,SADDLE BROOK TOWNSHIP,74.0,71.0,8.3
9380,3414520,Bergen County,NJ,Bergen County NJ,SADDLE RIVER,95.0,82.0,8.3
9381,3414550,Salem County,NJ,Salem County NJ,SALEM CITY,40.0,37.0,15.45
9382,3414580,Salem County,NJ,Salem County NJ,SALEM COUNTY VOCATIONAL S,77.0,92.0,15.45
9383,3414610,Sussex County,NJ,Sussex County NJ,SANDYSTON-WALPACK TOWNSHI,92.0,82.0,5.95
9384,3414640,Middlesex County,NJ,Middlesex County NJ,SAYREVILLE,80.0,72.0,11.3
9385,3414670,Union County,NJ,Union County NJ,SCOTCH PLAINS-FANWOOD,89.0,84.0,13.65
9386,3414730,Monmouth County,NJ,Monmouth County NJ,SEA GIRT BOROUGH,92.0,87.0,8.1
9387,3414760,Cape May County,NJ,Cape May County NJ,SEA ISLE CITY,50.0,50.0,16.25
9388,3414790,Ocean County,NJ,Ocean County NJ,SEASIDE HEIGHTS BOROUGH,77.0,42.0,16.65
9389,3414850,Hudson County,NJ,Hudson County NJ,SECAUCUS,80.0,72.0,26.55
9390,3414880,Burlington County,NJ,Burlington County NJ,SHAMONG TOWNSHIP,86.0,77.0,7.2
9391,3414940,Monmouth County,NJ,Monmouth County NJ,SHORE REGIONAL HIGH SCHOO,92.0,95.0,8.1
9392,3414970,Monmouth County,NJ,Monmouth County NJ,SHREWSBURY BOROUGH,94.0,87.0,8.1
9393,3415000,Camden County,NJ,Camden County NJ,SOMERDALE BOROUGH,72.0,65.0,18.0
9394,3415030,Atlantic County,NJ,Atlantic County NJ,SOMERS POINT,55.0,48.0,17.6
9395,3415060,Somerset County,NJ,Somerset County NJ,SOMERSET COUNTY VOCATIONA,87.0,95.0,5.800000000000001
9396,3415090,Somerset County,NJ,Somerset County NJ,SOMERVILLE BOROUGH,75.0,71.0,5.800000000000001
9397,3415120,Middlesex County,NJ,Middlesex County NJ,SOUTH AMBOY,72.0,69.0,11.3
9398,3415180,Somerset County,NJ,Somerset County NJ,SOUTH BOUND BROOK BOROUGH,71.0,56.0,5.800000000000001
9399,3415210,Middlesex County,NJ,Middlesex County NJ,SOUTH BRUNSWICK TOWNSHIP,87.0,83.0,11.3
9400,3415240,Bergen County,NJ,Bergen County NJ,SOUTH HACKENSACK,72.0,67.0,8.3
9401,3415270,Gloucester County,NJ,Gloucester County NJ,SOUTH HARRISON TOWNSHIP,86.0,76.0,9.05
9402,3415300,Hunterdon County,NJ,Hunterdon County NJ,SOUTH HUNTERDON REGIONAL,72.0,82.0,3.7
9403,3415330,Essex County,NJ,Essex County NJ,SOUTH ORANGE-MAPLEWOOD,83.0,82.0,21.8
9404,3415360,Middlesex County,NJ,Middlesex County NJ,SOUTH PLAINFIELD,82.0,77.0,11.3
9405,3415390,Middlesex County,NJ,Middlesex County NJ,SOUTH RIVER,71.0,65.0,11.3
9406,3415420,Burlington County,NJ,Burlington County NJ,SOUTHAMPTON TOWNSHIP,85.0,75.0,7.2
9407,3415450,Gloucester County,NJ,Gloucester County NJ,DELSEA REGIONAL HIGH SCHO,74.0,80.0,9.05
9408,3415480,Ocean County,NJ,Ocean County NJ,SOUTHERN REGIONAL,80.0,82.0,16.65
9409,3415510,Sussex County,NJ,Sussex County NJ,SPARTA TOWNSHIP,88.0,78.0,5.95
9410,3415540,Middlesex County,NJ,Middlesex County NJ,SPOTSWOOD,87.0,79.0,11.3
9411,3415570,Monmouth County,NJ,Monmouth County NJ,SPRING LAKE,92.0,82.0,8.1
9412,3415600,Monmouth County,NJ,Monmouth County NJ,SPRING LAKE HEIGHTS BOROU,87.0,75.0,8.1
9413,3415630,Union County,NJ,Union County NJ,SPRINGFIELD,82.0,76.0,13.65
9414,3415660,Burlington County,NJ,Burlington County NJ,SPRINGFIELD TOWNSHIP,92.0,77.0,7.2
9415,3415690,Ocean County,NJ,Ocean County NJ,STAFFORD TOWNSHIP,89.0,70.0,16.65
9416,3415720,Sussex County,NJ,Sussex County NJ,STANHOPE BOROUGH,81.0,73.0,5.95
9417,3415750,Sussex County,NJ,Sussex County NJ,STILLWATER TOWNSHIP,94.0,77.0,5.95
9418,3415780,Hunterdon County,NJ,Hunterdon County NJ,STOCKTON BOROUGH,50.0,50.0,3.7
9419,3415810,Cape May County,NJ,Cape May County NJ,STONE HARBOR,84.5,74.5,16.25
9420,3415840,Cumberland County,NJ,Cumberland County NJ,STOW CREEK TOWNSHIP,67.0,47.0,25.0
9421,3415870,Camden County,NJ,Camden County NJ,STRATFORD BOROUGH,79.0,69.0,18.0
9422,3415900,Union County,NJ,Union County NJ,SUMMIT CITY,89.0,86.0,13.65
9423,3415930,Sussex County,NJ,Sussex County NJ,SUSSEX COUNTY VOCATIONAL,77.0,87.0,5.95
9424,3415960,Sussex County,NJ,Sussex County NJ,SUSSEX-WANTAGE REGIONAL,71.0,68.0,5.95
9425,3415990,Gloucester County,NJ,Gloucester County NJ,SWEDESBORO-WOOLWICH,89.0,72.0,9.05
9426,3416020,Burlington County,NJ,Burlington County NJ,TABERNACLE TOWNSHIP,83.0,71.0,7.2
9427,3416080,Bergen County,NJ,Bergen County NJ,TEANECK,73.0,70.0,8.3
9428,3416110,Bergen County,NJ,Bergen County NJ,TENAFLY,94.0,89.0,8.3
9429,3416170,Hunterdon County,NJ,Hunterdon County NJ,TEWKSBURY TOWNSHIP,92.0,87.0,3.7
9430,3416200,Monmouth County,NJ,Monmouth County NJ,TINTON FALLS,85.0,76.0,8.1
9431,3416230,Ocean County,NJ,Ocean County NJ,TOMS RIVER REGIONAL,80.0,76.0,16.65
9432,3416260,Passaic County,NJ,Passaic County NJ,TOTOWA,77.0,70.0,21.85
9433,3416290,Mercer County,NJ,Mercer County NJ,TRENTON,37.0,30.0,13.7
9434,3416320,Ocean County,NJ,Ocean County NJ,TUCKERTON BOROUGH,77.0,47.0,16.65
9435,3416350,Monmouth County,NJ,Monmouth County NJ,UNION BEACH BOROUGH,71.0,57.0,8.1
9436,3416380,Hudson County,NJ,Hudson County NJ,UNION CITY,73.0,60.0,26.55
9437,3416440,Hunterdon County,NJ,Hunterdon County NJ,UNION TOWNSHIP,93.0,88.0,3.7
9438,3416470,Ocean County,NJ,Ocean County NJ,BARNEGAT TOWNSHIP,82.0,73.0,16.65
9439,3416500,Union County,NJ,Union County NJ,UNION TOWNSHIP,72.0,67.0,13.65
9440,3416530,Cumberland County,NJ,Cumberland County NJ,UPPER DEERFIELD TOWNSHIP,56.0,48.0,25.0
9441,3416560,Monmouth County,NJ,Monmouth County NJ,UPPER FREEHOLD REGIONAL,86.0,83.0,8.1
9442,3416590,Salem County,NJ,Salem County NJ,UPPER PITTSGROVE TOWNSHIP,76.0,75.0,15.45
9443,3416620,Bergen County,NJ,Bergen County NJ,UPPER SADDLE RIVER,93.0,88.0,8.3
9444,3416650,Cape May County,NJ,Cape May County NJ,UPPER TOWNSHIP,84.0,75.0,16.25
9445,3416680,Atlantic County,NJ,Atlantic County NJ,VENTNOR CITY,65.0,61.0,17.6
9446,3416710,Sussex County,NJ,Sussex County NJ,VERNON TOWNSHIP,80.0,76.0,5.95
9447,3416740,Essex County,NJ,Essex County NJ,VERONA,87.0,84.0,21.8
9448,3416800,Cumberland County,NJ,Cumberland County NJ,VINELAND CITY,67.0,55.0,25.0
9449,3416830,Camden County,NJ,Camden County NJ,VOORHEES TOWNSHIP,85.0,80.0,18.0
9450,3416860,Bergen County,NJ,Bergen County NJ,WALDWICK,88.0,84.0,8.3
9451,3416870,Sussex County,NJ,Sussex County NJ,WALLKILL VALLEY REGIONAL,82.0,92.0,5.95
9452,3416890,Monmouth County,NJ,Monmouth County NJ,WALL TOWNSHIP,86.0,80.0,8.1
9453,3416920,Bergen County,NJ,Bergen County NJ,WALLINGTON,77.0,70.0,8.3
9454,3416950,Passaic County,NJ,Passaic County NJ,WANAQUE,79.0,68.0,21.85
9455,3416970,Warren County,NJ,Warren County NJ,WARREN HILLS REGIONAL HIG,73.0,82.0,8.65
9456,3416980,Somerset County,NJ,Somerset County NJ,WARREN TOWNSHIP,90.0,86.0,5.800000000000001
9457,3417010,Warren County,NJ,Warren County NJ,WASHINGTON BOROUGH,70.0,47.0,8.65
9458,3417040,Atlantic County,NJ,Atlantic County NJ,WASHINGTON TOWNSHIP,74.5,64.5,17.6
9459,3417070,Gloucester County,NJ,Gloucester County NJ,WASHINGTON TOWNSHIP,83.0,78.0,9.05
9460,3417100,Mercer County,NJ,Mercer County NJ,WASHINGTON TOWNSHIP,89.0,84.0,13.7
9461,3417130,Morris County,NJ,Morris County NJ,WASHINGTON TOWNSHIP,90.0,81.0,4.95
9462,3417160,Warren County,NJ,Warren County NJ,WASHINGTON TOWNSHIP,83.0,68.0,8.65
9463,3417190,Somerset County,NJ,Somerset County NJ,WATCHUNG BOROUGH,93.0,89.0,5.800000000000001
9464,3417220,Somerset County,NJ,Somerset County NJ,WATCHUNG HILLS REGIONAL,89.0,99.0,5.800000000000001
9465,3417250,Camden County,NJ,Camden County NJ,WATERFORD TOWNSHIP,72.0,57.0,18.0
9466,3417280,Passaic County,NJ,Passaic County NJ,WAYNE TOWNSHIP,87.0,81.0,21.85
9467,3417310,Hudson County,NJ,Hudson County NJ,WEEHAWKEN TOWNSHIP,84.0,74.0,26.55
9468,3417340,Gloucester County,NJ,Gloucester County NJ,WENONAH,95.0,77.0,9.05
9469,3417370,Hunterdon County,NJ,Hunterdon County NJ,WEST AMWELL TOWNSHIP,92.0,77.0,3.7
9470,3417400,Cape May County,NJ,Cape May County NJ,WEST CAPE MAY,84.5,64.5,16.25
9471,3417430,Gloucester County,NJ,Gloucester County NJ,WEST DEPTFORD TOWNSHIP,74.0,67.0,9.05
9472,3417460,Essex County,NJ,Essex County NJ,WEST ESSEX REGIONAL,86.0,90.0,21.8
9473,3417490,Monmouth County,NJ,Monmouth County NJ,WEST LONG BRANCH,79.0,68.0,8.1
9474,3417500,Monmouth County,NJ,Monmouth County NJ,MONMOUTH COUNTY VOCATIONA,99.0,99.0,8.1
9475,3417520,Passaic County,NJ,Passaic County NJ,WEST MILFORD TOWNSHIP,80.0,76.0,21.85
9476,3417550,Morris County,NJ,Morris County NJ,WEST MORRIS REGIONAL HIGH,92.0,99.0,4.95
9477,3417580,Hudson County,NJ,Hudson County NJ,WEST NEW YORK,75.0,59.0,26.55
9478,3417610,Essex County,NJ,Essex County NJ,WEST ORANGE,75.0,74.0,21.8
9479,3417640,Passaic County,NJ,Passaic County NJ,WOODLAND PARK,73.0,55.0,21.85
9480,3417700,Mercer County,NJ,Mercer County NJ,WEST WINDSOR-PLAINSBORO R,92.0,89.0,13.7
9481,3417730,Burlington County,NJ,Burlington County NJ,WESTAMPTON TOWNSHIP,75.0,69.0,7.2
9482,3417760,Union County,NJ,Union County NJ,WESTFIELD,92.0,88.0,13.65
9483,3417790,Gloucester County,NJ,Gloucester County NJ,WESTVILLE,87.0,47.0,9.05
9484,3417820,Bergen County,NJ,Bergen County NJ,WESTWOOD REGIONAL SCHOOL,87.0,82.0,8.3
9485,3417850,Atlantic County,NJ,Atlantic County NJ,WEYMOUTH TOWNSHIP,77.0,67.0,17.6
9486,3417880,Morris County,NJ,Morris County NJ,WHARTON BOROUGH,71.0,62.0,4.95
9487,3417910,Warren County,NJ,Warren County NJ,WHITE TOWNSHIP,80.0,69.0,8.65
9488,3417920,Warren County,NJ,Warren County NJ,WARREN COUNTY VOCATIONAL,77.0,95.0,8.65
9489,3417940,Cape May County,NJ,Cape May County NJ,WILDWOOD CITY,59.0,43.0,16.25
9490,3417970,Cape May County,NJ,Cape May County NJ,WILDWOOD CREST,82.0,82.0,16.25
9491,3418000,Burlington County,NJ,Burlington County NJ,WILLINGBORO TOWNSHIP,52.0,48.0,7.2
9492,3418030,Union County,NJ,Union County NJ,WINFIELD TOWNSHIP,67.0,62.0,13.65
9493,3418040,Union County,NJ,Union County NJ,UNION COUNTY VOCATIONAL S,99.0,99.0,13.65
9494,3418060,Camden County,NJ,Camden County NJ,WINSLOW TOWNSHIP,56.0,55.0,18.0
9495,3418090,Cape May County,NJ,Cape May County NJ,WOODBINE,67.0,42.0,16.25
9496,3418120,Middlesex County,NJ,Middlesex County NJ,WOODBRIDGE TOWNSHIP,86.0,76.0,11.3
9497,3418150,Gloucester County,NJ,Gloucester County NJ,WOODBURY,68.0,53.0,9.05
9498,3418180,Gloucester County,NJ,Gloucester County NJ,WOODBURY HEIGHTS,77.0,57.0,9.05
9499,3418210,Bergen County,NJ,Bergen County NJ,WOODCLIFF LAKE,91.0,90.0,8.3
9500,3418240,Burlington County,NJ,Burlington County NJ,WOODLAND TOWNSHIP,67.0,57.0,7.2
9501,3418270,Camden County,NJ,Camden County NJ,WOODLYNNE BOROUGH,50.0,30.0,18.0
9502,3418300,Bergen County,NJ,Bergen County NJ,WOOD-RIDGE,72.0,68.0,8.3
9503,3418330,Salem County,NJ,Salem County NJ,WOODSTOWN-PILESGROVE REGI,78.0,77.0,15.45
9504,3418360,Bergen County,NJ,Bergen County NJ,WYCKOFF TOWNSHIP,90.0,86.0,8.3
9505,3500001,Guadalupe County,NM,Guadalupe County NM,VAUGHN MUNICIPAL SCHOOLS,22.0,47.0,29.9
9506,3500010,Sandoval County,NM,Sandoval County NM,RIO RANCHO PUBLIC SCHOOLS,60.0,64.0,16.0
9512,3500030,Otero County,NM,Otero County NM,ALAMOGORDO PUBLIC SCHOOLS,54.0,62.0,32.150000000000006
9513,3500060,Bernalillo County,NM,Bernalillo County NM,ALBUQUERQUE PUBLIC SCHOOLS,44.0,51.0,24.05
9514,3500090,Hidalgo County,NM,Hidalgo County NM,ANIMAS PUBLIC SCHOOLS,62.0,62.0,34.45
9529,3500120,Eddy County,NM,Eddy County NM,ARTESIA PUBLIC SCHOOLS,52.0,56.0,20.049999999999997
9555,3500150,San Juan County,NM,San Juan County NM,AZTEC MUNICIPAL SCHOOLS,46.0,50.0,25.25
9556,3500180,Valencia County,NM,Valencia County NM,BELEN CONSOLIDATED SCHOOLS,38.0,50.0,27.75
9557,3500210,Sandoval County,NM,Sandoval County NM,BERNALILLO PUBLIC SCHOOLS,31.0,40.0,16.0
9558,3500240,San Juan County,NM,San Juan County NM,BLOOMFIELD SCHOOLS,40.0,46.0,25.25
9559,3500270,Lincoln County,NM,Lincoln County NM,CAPITAN MUNICIPAL SCHOOLS,47.0,67.0,30.6
9560,3500300,Eddy County,NM,Eddy County NM,CARLSBAD MUNICIPAL SCHOOLS,43.0,56.0,20.049999999999997
9561,3500330,Lincoln County,NM,Lincoln County NM,CARRIZOZO MUNICIPAL SCHOOLS,37.0,42.0,30.6
9562,3500390,San Juan County,NM,San Juan County NM,CENTRAL CONSOLIDATED SCHOOLS,37.0,42.0,25.25
9563,3500420,Rio Arriba County,NM,Rio Arriba County NM,CHAMA VALLEY INDEP. SCHOOLS,50.0,58.0,28.4
9564,3500480,Colfax County,NM,Colfax County NM,CIMARRON MUNICIPAL SCHOOLS,54.0,62.0,25.950000000000003
9565,3500510,Union County,NM,Union County NM,CLAYTON MUNICIPAL SCHOOLS,61.0,69.0,25.549999999999997
9566,3500540,Otero County,NM,Otero County NM,CLOUDCROFT MUNICIPAL SCHOOLS,52.0,72.0,32.150000000000006
9567,3500570,Curry County,NM,Curry County NM,CLOVIS MUNICIPAL SCHOOLS,51.0,56.0,26.6
9568,3500600,Grant County,NM,Grant County NM,COBRE CONSOLIDATED SCHOOLS,41.0,60.0,32.0
9569,3500630,Lincoln County,NM,Lincoln County NM,CORONA MUNICIPAL SCHOOLS,44.5,64.5,30.6
9570,3500660,Sandoval County,NM,Sandoval County NM,CUBA INDEPENDENT SCHOOLS,31.0,34.0,16.0
9571,3500690,Luna County,NM,Luna County NM,DEMING PUBLIC SCHOOLS,28.0,38.0,40.25
9572,3500720,Union County,NM,Union County NM,DES MOINES MUNICIPAL SCHOOLS,54.5,64.5,25.549999999999997
9573,3500750,Chaves County,NM,Chaves County NM,DEXTER CONSOLIDATED SCHOOLS,42.0,44.0,29.75
9574,3500790,Roosevelt County,NM,Roosevelt County NM,DORA MUNICIPAL SCHOOLS,47.0,67.0,29.35
9575,3500810,Rio Arriba County,NM,Rio Arriba County NM,DULCE INDEPENDENT SCHOOLS,20.0,27.0,28.4
9576,3500840,Roosevelt County,NM,Roosevelt County NM,ELIDA MUNICIPAL SCHOOLS,52.0,62.0,29.35
9577,3500900,Rio Arriba County,NM,Rio Arriba County NM,ESPANOLA PUBLIC SCHOOLS,32.0,42.0,28.4
9578,3500930,Torrance County,NM,Torrance County NM,ESTANCIA MUNICIPAL SCHOOLS,42.0,50.0,34.75
9579,3500960,Lea County,NM,Lea County NM,EUNICE MUNICIPAL SCHOOLS,24.0,42.0,21.35
9580,3500990,San Juan County,NM,San Juan County NM,FARMINGTON MUNICIPAL SCHOOLS,39.0,52.0,25.25
9581,3501020,Roosevelt County,NM,Roosevelt County NM,FLOYD MUNICIPAL SCHOOLS,42.0,52.0,29.35
9585,3501140,Curry County,NM,Curry County NM,GRADY MUNICIPAL SCHOOLS,62.0,77.0,26.6
9586,3501170,Cibola County,NM,Cibola County NM,GRANTS-CIBOLA COUNTY SCHOOLS,38.0,46.0,37.2
9587,3501200,Chaves County,NM,Chaves County NM,HAGERMAN MUNICIPAL SCHOOLS,27.0,49.0,29.75
9589,3501260,Lea County,NM,Lea County NM,HOBBS MUNICIPAL SCHOOLS,33.0,42.0,21.35
9590,3501290,Lincoln County,NM,Lincoln County NM,HONDO VALLEY PUBLIC SCHOOLS,17.0,32.0,30.6
9591,3501320,Quay County,NM,Quay County NM,HOUSE MUNICIPAL SCHOOLS,44.5,54.5,33.95
9592,3501350,Lea County,NM,Lea County NM,JAL PUBLIC SCHOOLS,39.0,42.0,21.35
9593,3501380,Rio Arriba County,NM,Rio Arriba County NM,JEMEZ MOUNTAIN PUBLIC SCHOOLS,22.0,37.0,28.4
9594,3501410,Sandoval County,NM,Sandoval County NM,JEMEZ VALLEY PUBLIC SCHOOLS,24.0,30.0,16.0
9595,3501470,Chaves County,NM,Chaves County NM,LAKE ARTHUR MUNICIPAL SCHOOLS,42.0,32.0,29.75
9597,3501530,San Miguel County,NM,San Miguel County NM,LAS VEGAS CITY PUBLIC SCHOOLS,26.0,52.0,32.05
9598,3501560,San Miguel County,NM,San Miguel County NM,WEST LAS VEGAS PUBLIC SCHOOLS,35.0,47.0,32.05
9599,3501590,Quay County,NM,Quay County NM,LOGAN MUNICIPAL SCHOOLS,57.0,67.0,33.95
9600,3501620,Hidalgo County,NM,Hidalgo County NM,LORDSBURG MUNICIPAL SCHOOLS,31.0,38.0,34.45
9601,3501650,Los Alamos County,NM,Los Alamos County NM,LOS ALAMOS PUBLIC SCHOOLS,77.0,81.0,3.45
9602,3501680,Valencia County,NM,Valencia County NM,LOS LUNAS PUBLIC SCHOOLS,45.0,51.0,27.75
9603,3501710,Eddy County,NM,Eddy County NM,LOVING MUNICIPAL SCHOOLS,27.0,41.0,20.049999999999997
9604,3501740,Lea County,NM,Lea County NM,LOVINGTON MUNICIPAL SCHOOLS,47.0,49.0,21.35
9605,3501770,Socorro County,NM,Socorro County NM,MAGDALENA MUNICIPAL SCHOOLS,27.0,37.0,36.8
9606,3501800,Colfax County,NM,Colfax County NM,MAXWELL MUNICIPAL SCHOOLS,24.5,44.5,25.950000000000003
9607,3501830,Curry County,NM,Curry County NM,MELROSE PUBLIC SCHOOLS,67.0,57.0,26.6
9608,3501860,Mora County,NM,Mora County NM,MORA INDEPENDENT SCHOOLS,48.0,46.0,29.0
9609,3501890,Torrance County,NM,Torrance County NM,MORIARTY MUNICIPAL SCHOOLS,53.0,61.0,34.75
9610,3501920,Harding County,NM,Harding County NM,MOSQUERO MUNICIPAL SCHOOLS,30.0,49.5,26.75
9611,3501950,Torrance County,NM,Torrance County NM,MOUNTAINAIR PUBLIC SCHOOLS,27.0,42.0,34.75
